filename,path,label,category,pair_id,original,source_primary,source_secondary,source_group,track,analysis_version,verdict,tcs_score,confidence,abstained_reason,detector_threshold,flow_score,mean_divergence,acceleration_anomaly,flicker_score,physics_score,gravity_consistency,rigid_body_score,shadow_consistency,semantic_score,color_drift,edge_stability,texture_consistency,ctcg_score,ctcg_phase_coherence,ctcg_ar_residual,ctcg_spectral_anomaly,ctcg_micro_jitter,flow_boundary_seam,boundary_color_flicker,warp_prediction_error,boundary_edge_flicker,face_scene_support_ratio,light_support_ratio,skin_support_ratio,flow_boundary_support_ratio,boundary_color_support_ratio,warp_support_ratio,boundary_edge_support_ratio,boundary_agreement_ratio,boundary_corroboration,warp_supported_score,violation_count,major_violation_count,critical_violation_count,dynamic_violation_score,boundary_violation_score,violation_ratio_mean,violation_ratio_max,violation_span_fraction,major_span_fraction,critical_span_fraction,dynamic_span_fraction,boundary_span_fraction,confidence_weighted_span,has_face_motion,has_face_scene_decoupling,has_rigid_body,has_warp_prediction_error,has_flow_boundary_seam,has_edge_instability,has_face_texture,frame_anomaly_max,frame_anomaly_top3_mean,frame_anomaly_peak_fraction,frame_anomaly_mean,frame_anomaly_std,frame_multi_evidence_fraction,face_detected_ratio,face_reliability_mean,neck_visibility_ratio,boundary_support_ratio,l5_frequency_score,l5_lap_var_ratio,l5_lap_var_temporal_cv,l5_dct_hf_ratio,l5_dct_hf_temporal_cv,l5_lap_kurtosis_mean,l5_lap_kurtosis_cv,l5_wavelet_detail_ratio,l5_wavelet_detail_ratio_cv,l5_lap_R_cv,l5_lap_G_cv,l5_lap_B_cv,l5_lap_diff_mean,l5_lap_trend_residual_std,l5_lap_acc_mean,l5_block_lap_consistency,l5_cross_ch_lap_corr,l5_srm_var_cv,duration,fps,width,height
faceswap_0001.mp4,dataset\faceforensics\ai\faceswap_0001.mp4,1,faceswap,0001,033_097.mp4,033,097,033|097,core,patv_x_core_v13,AUTHENTIC,0.28704,MEDIUM,,0.42,0.24631,0.36142,0.08792,0.06366,0.55065,0.06037,0.65653,0.04491,0.15571,0.06165,0.10669,0.18444,0.10322,0.34485,0.09293,0.10448,0.07982,0.34485,0.09293,0.10448,0.07982,0.91579,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.34485,0.06341,8,7,0,1.0,0.46,0.68118,1.0,1.0,1.0,0.0,1.0,0.125,0.75036,1,1,1,0,0,1,1,0.88179,0.85229,0.25,0.39381,0.14092,0.05208,1.0,0.95685,0.98947,1.0,0.35815,1.15342,0.17978,1.44747,0.11183,6.44852,0.16656,0.85132,0.06583,0.18436,0.17805,0.17839,64.4183,0.10816,46.21377,0.24403,0.97155,0.18895,19.12,25.0,854,480
faceswap_0002.mp4,dataset\faceforensics\ai\faceswap_0002.mp4,1,faceswap,0002,035_036.mp4,035,036,035|036,core,patv_x_core_v13,AI_GENERATED,0.61433,MEDIUM,,0.42,0.30888,0.56633,0.11949,0.04674,0.63556,0.06037,0.78596,0.04823,0.12536,0.06219,0.06619,0.1514,0.15628,0.09377,0.06438,0.6149,0.10457,0.09377,0.06438,0.6149,0.10457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.10457,0.28454,9,8,0,1.0,0.62,0.70752,1.0,1.0,1.0,0.0,1.0,1.0,0.78494,1,1,1,1,0,1,1,0.78578,0.76505,0.17647,0.37271,0.13414,0.07059,1.0,0.96,0.9881,1.0,0.67835,1.99026,0.23178,2.1049,0.19852,35.17664,0.23185,0.76974,0.09667,0.21798,0.22502,0.21723,8.65976,0.20998,9.25984,0.58168,0.87966,0.23097,13.48,25.0,640,480
faceswap_0003.mp4,dataset\faceforensics\ai\faceswap_0003.mp4,1,faceswap,0003,036_035.mp4,036,035,035|036,core,patv_x_core_v13,AUTHENTIC,0.26344,MEDIUM,,0.42,0.28876,0.42243,0.1128,0.09245,0.53105,0.06037,0.52751,0.09248,0.47167,0.0806,0.22422,0.60234,0.23445,0.25856,0.15326,0.47897,0.16541,0.25856,0.15326,0.47897,0.16541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25856,0.26589,10,6,0,1.0,0.56,0.83957,1.0,1.0,1.0,0.0,1.0,0.23529,0.75923,1,1,1,0,0,1,1,0.8145,0.80556,0.72941,0.56593,0.15666,0.31765,1.0,0.96,1.0,1.0,0.28616,0.93701,0.13338,1.53115,0.08787,18.471,0.32697,0.4489,0.06617,0.12307,0.12984,0.11462,8.6335,0.13253,6.44792,0.30967,0.85965,0.12507,13.48,25.0,640,480
faceswap_0004.mp4,dataset\faceforensics\ai\faceswap_0004.mp4,1,faceswap,0004,044_945.mp4,044,945,044|945,core,patv_x_core_v13,AI_GENERATED,0.54196,MEDIUM,,0.42,0.28199,0.48412,0.12928,0.10896,0.699,0.34998,0.80168,0.0741,0.42359,0.07118,0.2297,0.53387,0.20552,0.24982,0.09238,0.3943,0.22136,0.24982,0.09238,0.3943,0.22136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.24982,0.21682,10,8,0,1.0,0.56,1.0,1.0,1.0,1.0,0.0,1.0,0.20896,0.80773,1,1,1,0,0,1,1,0.90638,0.87943,0.64179,0.50529,0.18935,0.16418,1.0,0.96,1.0,1.0,0.61976,2.52256,0.16068,2.91626,0.09024,88.47686,0.34824,0.53978,0.08183,0.14111,0.15691,0.13605,5.87959,0.15629,4.10882,0.3412,0.80758,0.15433,11.17,30.0,1280,720
faceswap_0005.mp4,dataset\faceforensics\ai\faceswap_0005.mp4,1,faceswap,0005,046_904.mp4,046,904,046|904,core,patv_x_core_v13,AI_GENERATED,0.63779,HIGH,,0.42,0.39037,0.62814,0.15775,0.08355,0.64634,0.34798,0.84441,0.05513,0.36129,0.06937,0.09407,0.48005,0.12294,0.20329,0.09833,0.3142,0.06704,0.20329,0.09833,0.3142,0.06704,0.98592,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.20329,0.164,8,7,0,1.0,0.38,0.93546,1.0,1.0,1.0,0.0,1.0,0.19444,0.84246,1,1,1,0,0,1,1,0.80181,0.79634,0.72222,0.55018,0.13682,0.23611,1.0,0.96,1.0,1.0,0.80036,0.65631,0.20847,1.15178,0.06654,133.72787,0.45525,0.68441,0.11059,0.19297,0.20676,0.19568,19.70095,0.20847,16.95524,0.38806,0.91861,0.15706,11.97,30.0,1280,720
faceswap_0006.mp4,dataset\faceforensics\ai\faceswap_0006.mp4,1,faceswap,0006,055_147.mp4,055,147,055|147,core,patv_x_core_v13,AI_GENERATED,0.62056,HIGH,,0.42,0.3472,0.60064,0.13172,0.10623,0.27401,0.06037,0.0,0.08044,0.28613,0.08098,0.14551,0.35746,0.31215,0.15884,0.21617,0.48208,0.35349,0.15884,0.21617,0.48208,0.35349,0.96154,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.35349,0.29508,10,6,0,1.0,0.8,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.77405,1,1,0,1,0,1,1,0.8371,0.81592,0.83544,0.5477,0.1222,0.18987,1.0,0.96,0.11538,1.0,0.69171,2.41358,0.147,2.07503,0.07751,55.18326,0.5441,0.62533,0.09398,0.13488,0.14365,0.18044,8.80811,0.1461,7.3422,0.43293,0.68037,0.13194,13.13,30.0,640,480
faceswap_0007.mp4,dataset\faceforensics\ai\faceswap_0007.mp4,1,faceswap,0007,062_066.mp4,062,066,062|066,core,patv_x_core_v13,AUTHENTIC,0.33827,LOW,,0.42,0.4146,0.40287,0.1311,0.07472,0.58525,0.38,0.59191,0.06916,0.45205,0.07568,0.12397,0.60093,0.18747,0.05584,0.20972,0.47539,0.08508,0.05584,0.20972,0.47539,0.08508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.20972,0.24997,10,8,0,1.0,0.56,0.8276,1.0,1.0,1.0,0.0,1.0,0.27059,0.78721,1,1,1,0,0,1,1,0.87869,0.86096,0.57647,0.51273,0.14459,0.32941,1.0,0.95503,0.9881,1.0,0.38109,1.21036,0.08835,2.03027,0.06577,10.85944,0.38316,0.67741,0.04401,0.08704,0.08781,0.08515,18.11165,0.0883,12.65643,0.40062,0.95955,0.08541,14.1,30.0,640,480
faceswap_0008.mp4,dataset\faceforensics\ai\faceswap_0008.mp4,1,faceswap,0008,066_062.mp4,066,062,062|066,core,patv_x_core_v13,AUTHENTIC,0.28324,MEDIUM,,0.42,0.29996,0.51967,0.08881,0.1809,0.65904,0.06037,0.86379,0.06582,0.13687,0.08002,0.07746,0.16189,0.08282,0.36293,0.07343,0.0335,0.06578,0.36293,0.07343,0.0335,0.06578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.36293,0.02069,5,5,0,1.0,0.0,0.57282,0.73841,1.0,1.0,0.0,1.0,0.0,0.81448,1,1,1,0,0,0,0,0.5899,0.5632,0.2,0.3721,0.10436,0.02353,0.88235,0.92011,1.0,1.0,0.35634,0.57729,0.13768,1.72779,0.05536,9.21116,0.45078,0.62186,0.06536,0.13509,0.13711,0.13281,33.28762,0.12593,23.11666,0.2111,0.9677,0.14448,14.1,30.0,720,480
faceswap_0009.mp4,dataset\faceforensics\ai\faceswap_0009.mp4,1,faceswap,0009,097_033.mp4,097,033,033|097,core,patv_x_core_v13,AUTHENTIC,0.24832,MEDIUM,,0.42,0.16686,0.72399,0.05232,0.04304,0.4806,0.06037,0.5395,0.04805,0.16565,0.06204,0.11009,0.1977,0.24952,0.2213,0.16641,0.54297,0.04948,0.2213,0.16641,0.54297,0.04948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.2213,0.28928,6,0,0,0.72,0.52,0.32273,0.32271,1.0,0.0,0.0,1.0,1.0,0.69573,1,1,1,1,0,1,1,0.75928,0.72487,0.58333,0.4385,0.16174,0.02083,1.0,0.95769,0.95789,1.0,0.27125,1.58584,0.08935,1.09905,0.08624,11.95225,0.13409,0.79776,0.04956,0.08845,0.08953,0.09413,60.86355,0.08228,51.03675,0.29179,0.93453,0.08594,19.12,25.0,640,480
faceswap_0010.mp4,dataset\faceforensics\ai\faceswap_0010.mp4,1,faceswap,0010,107_109.mp4,107,109,107|109,core,patv_x_core_v13,AUTHENTIC,0.38598,LOW,,0.42,0.33602,0.46949,0.07744,0.05805,0.57774,0.06037,0.69871,0.04814,0.12214,0.06353,0.1087,0.13565,0.22385,0.18466,0.0642,0.74701,0.07631,0.18466,0.0642,0.74701,0.07631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.18466,0.38157,8,7,0,1.0,0.6,0.46916,0.65933,1.0,1.0,0.0,1.0,1.0,0.78525,1,1,1,1,0,1,0,0.57739,0.56995,0.24,0.38106,0.10605,0.2,1.0,0.95704,0.98649,1.0,0.43116,1.14918,0.08788,1.74636,0.07747,15.73949,0.43045,0.49057,0.11043,0.07936,0.087,0.07563,8.0331,0.08401,4.7323,0.34233,0.89185,0.07944,11.92,25.0,640,480
